CHROM	size
HiC_scaffold_128	36238
HiC_scaffold_129	21541
HiC_scaffold_130	35191
HiC_scaffold_131	16298
HiC_scaffold_132	18120
HiC_scaffold_133	19458
HiC_scaffold_134	21008
HiC_scaffold_135	29700
HiC_scaffold_136	28058
HiC_scaffold_137	27325
HiC_scaffold_138	25917
HiC_scaffold_139	24676
HiC_scaffold_140	15712
HiC_scaffold_141	23290
HiC_scaffold_142	23048
HiC_scaffold_143	23291
HiC_scaffold_144	18923
HiC_scaffold_145	18833
HiC_scaffold_146	15435
HiC_scaffold_147	15607
HiC_scaffold_148	15870
HiC_scaffold_149	15584
HiC_scaffold_151	15183
HiC_scaffold_152	92591
HiC_scaffold_153	88852
HiC_scaffold_154	86020
HiC_scaffold_155	83767
HiC_scaffold_156	83340
HiC_scaffold_157	83760
HiC_scaffold_158	82890
HiC_scaffold_159	79154
HiC_scaffold_160	67863
HiC_scaffold_161	67046
HiC_scaffold_162	67392
HiC_scaffold_163	65908
HiC_scaffold_164	65287
HiC_scaffold_165	65425
HiC_scaffold_166	62626
HiC_scaffold_167	60465
HiC_scaffold_168	60561
HiC_scaffold_169	60096
HiC_scaffold_170	58854
HiC_scaffold_171	58400
HiC_scaffold_172	58641
HiC_scaffold_173	57762
HiC_scaffold_174	56086
HiC_scaffold_175	56837
HiC_scaffold_176	54822
HiC_scaffold_177	55232
HiC_scaffold_178	55809
HiC_scaffold_179	55340
HiC_scaffold_180	54819
HiC_scaffold_181	54486
HiC_scaffold_182	54312
HiC_scaffold_183	52902
HiC_scaffold_185	52084
HiC_scaffold_186	50160
HiC_scaffold_187	50306
HiC_scaffold_188	47661
HiC_scaffold_190	48042
HiC_scaffold_191	47136
HiC_scaffold_192	46102
HiC_scaffold_193	45936
HiC_scaffold_194	45773
HiC_scaffold_195	44735
HiC_scaffold_196	42101
HiC_scaffold_197	42791
HiC_scaffold_198	42823
HiC_scaffold_199	42917
HiC_scaffold_200	42744
HiC_scaffold_201	42621
HiC_scaffold_202	42330
HiC_scaffold_203	40344
HiC_scaffold_204	40729
HiC_scaffold_205	36646
HiC_scaffold_206	39392
HiC_scaffold_207	38525
HiC_scaffold_208	38998
HiC_scaffold_209	38155
HiC_scaffold_210	38557
HiC_scaffold_211	38538
HiC_scaffold_212	38489
HiC_scaffold_213	38150
HiC_scaffold_214	37230
HiC_scaffold_215	37483
HiC_scaffold_216	37460
HiC_scaffold_217	37412
HiC_scaffold_219	37197
HiC_scaffold_220	37118
HiC_scaffold_221	36826
HiC_scaffold_222	36821
HiC_scaffold_223	36275
HiC_scaffold_224	35961
HiC_scaffold_225	35947
HiC_scaffold_227	34842
HiC_scaffold_228	34623
HiC_scaffold_229	34936
HiC_scaffold_230	34032
HiC_scaffold_231	33991
HiC_scaffold_232	33556
HiC_scaffold_233	32965
HiC_scaffold_234	33140
HiC_scaffold_235	32936
HiC_scaffold_236	32752
HiC_scaffold_237	32543
HiC_scaffold_238	32303
HiC_scaffold_239	31748
HiC_scaffold_240	32411
HiC_scaffold_241	32371
HiC_scaffold_242	31342
HiC_scaffold_243	32205
HiC_scaffold_244	31862
HiC_scaffold_245	31788
HiC_scaffold_246	31660
HiC_scaffold_247	31948
HiC_scaffold_248	32081
HiC_scaffold_249	30971
HiC_scaffold_250	28964
HiC_scaffold_251	30933
HiC_scaffold_252	30444
HiC_scaffold_253	30879
HiC_scaffold_254	30597
HiC_scaffold_255	30629
HiC_scaffold_256	30624
HiC_scaffold_257	28861
HiC_scaffold_258	29623
HiC_scaffold_259	30131
HiC_scaffold_260	29607
HiC_scaffold_261	29667
HiC_scaffold_262	29619
HiC_scaffold_263	26591
HiC_scaffold_264	29302
HiC_scaffold_265	29556
HiC_scaffold_267	27943
HiC_scaffold_268	28480
HiC_scaffold_269	28284
HiC_scaffold_270	27724
HiC_scaffold_271	28185
HiC_scaffold_273	27816
HiC_scaffold_274	23685
HiC_scaffold_275	27635
HiC_scaffold_276	27421
HiC_scaffold_277	27500
HiC_scaffold_278	27585
HiC_scaffold_280	27303
HiC_scaffold_281	27305
HiC_scaffold_282	26262
HiC_scaffold_283	26238
HiC_scaffold_284	26107
HiC_scaffold_285	25902
HiC_scaffold_286	25417
HiC_scaffold_287	24191
HiC_scaffold_289	23333
HiC_scaffold_290	24248
HiC_scaffold_292	24111
HiC_scaffold_293	23868
HiC_scaffold_294	24199
HiC_scaffold_295	23780
HiC_scaffold_296	23714
HiC_scaffold_297	23511
HiC_scaffold_298	24677
HiC_scaffold_299	23672
HiC_scaffold_300	22207
HiC_scaffold_301	23196
HiC_scaffold_302	23111
HiC_scaffold_303	21965
HiC_scaffold_304	22083
HiC_scaffold_305	22233
HiC_scaffold_306	22054
HiC_scaffold_307	21578
HiC_scaffold_308	21219
HiC_scaffold_309	21155
HiC_scaffold_310	20917
HiC_scaffold_311	21010
HiC_scaffold_312	21144
HiC_scaffold_313	21036
HiC_scaffold_314	20902
HiC_scaffold_315	20041
HiC_scaffold_317	20005
HiC_scaffold_318	20096
HiC_scaffold_319	19045
HiC_scaffold_320	20034
HiC_scaffold_321	19641
HiC_scaffold_322	18383
HiC_scaffold_323	19837
HiC_scaffold_324	19429
HiC_scaffold_325	19409
HiC_scaffold_326	17728
HiC_scaffold_327	18459
HiC_scaffold_328	19085
HiC_scaffold_329	18833
HiC_scaffold_330	18771
HiC_scaffold_333	18265
HiC_scaffold_334	18104
HiC_scaffold_335	17815
HiC_scaffold_336	16673
HiC_scaffold_337	17414
HiC_scaffold_338	17238
HiC_scaffold_339	14605
HiC_scaffold_340	17059
HiC_scaffold_341	16360
HiC_scaffold_342	15736
HiC_scaffold_343	16141
HiC_scaffold_344	16742
HiC_scaffold_345	16335
HiC_scaffold_347	16408
HiC_scaffold_349	16243
HiC_scaffold_350	15955
HiC_scaffold_351	16168
HiC_scaffold_352	15829
HiC_scaffold_353	15720
HiC_scaffold_354	15739
HiC_scaffold_355	15828
HiC_scaffold_356	15851
HiC_scaffold_357	15674
HiC_scaffold_358	13927
HiC_scaffold_359	15667
HiC_scaffold_360	15568
HiC_scaffold_361	15547
HiC_scaffold_362	15223
HiC_scaffold_363	15253
HiC_scaffold_364	15131
HiC_scaffold_365	15102
HiC_scaffold_366	15288
HiC_scaffold_367	15008
HiC_scaffold_368	24847
HiC_scaffold_369	25118
HiC_scaffold_370	25005
HiC_scaffold_371	26111
HiC_scaffold_372	23967
HiC_scaffold_373	1059
HiC_scaffold_374	24300
HiC_scaffold_375	24798
HiC_scaffold_376	2497
HiC_scaffold_377	74830
HiC_scaffold_380	8697
HiC_scaffold_381	25004
HiC_scaffold_382	22863
HiC_scaffold_383	24201
HiC_scaffold_384	25039
HiC_scaffold_385	2829
HiC_scaffold_386	24970
HiC_scaffold_387	49370
HiC_scaffold_388	25037
HiC_scaffold_389	24948
HiC_scaffold_390	24875
HiC_scaffold_391	49965
HiC_scaffold_392	25033
HiC_scaffold_393	24859
HiC_scaffold_394	24848
HiC_scaffold_395	49061
HiC_scaffold_396	25187
HiC_scaffold_397	6329
HiC_scaffold_398	41077
HiC_scaffold_399	50302
HiC_scaffold_400	24773
HiC_scaffold_401	24646
HiC_scaffold_404	25047
HiC_scaffold_405	25122
HiC_scaffold_406	97772
HiC_scaffold_407	24897
HiC_scaffold_408	25142
HiC_scaffold_409	25026
HiC_scaffold_410	1085
HiC_scaffold_411	37023
HiC_scaffold_412	25135
HiC_scaffold_413	25013
HiC_scaffold_414	24881
HiC_scaffold_415	24957
HiC_scaffold_416	35290
HiC_scaffold_417	25025
HiC_scaffold_418	24907
HiC_scaffold_419	24912
HiC_scaffold_420	24840
HiC_scaffold_421	24947
HiC_scaffold_422	2575
HiC_scaffold_423	24913
HiC_scaffold_424	26084
HiC_scaffold_425	24031
HiC_scaffold_429	2898
HiC_scaffold_431	24927
HiC_scaffold_432	38101
HiC_scaffold_433	1860
HiC_scaffold_434	24916
HiC_scaffold_435	24928
HiC_scaffold_436	25014
HiC_scaffold_437	25064
HiC_scaffold_438	25108
HiC_scaffold_439	25269
HiC_scaffold_440	24998
HiC_scaffold_441	24744
HiC_scaffold_443	24988
HiC_scaffold_444	24390
HiC_scaffold_445	39234
HiC_scaffold_446	24994
HiC_scaffold_447	25526
HiC_scaffold_448	24939
HiC_scaffold_449	25065
HiC_scaffold_451	40615
HiC_scaffold_452	25066
HiC_scaffold_453	54012
HiC_scaffold_454	24015
HiC_scaffold_455	74873
HiC_scaffold_456	50082
HiC_scaffold_457	25179
HiC_scaffold_458	25069
HiC_scaffold_459	14284
HiC_scaffold_460	1275
HiC_scaffold_462	24808
HiC_scaffold_463	24926
HiC_scaffold_465	24866
HiC_scaffold_466	49894
HiC_scaffold_467	26212
HiC_scaffold_468	24978
HiC_scaffold_469	24950
HiC_scaffold_470	24950
HiC_scaffold_471	19552
HiC_scaffold_472	25006
HiC_scaffold_473	2016
HiC_scaffold_474	7809
HiC_scaffold_476	35694
HiC_scaffold_477	25580
HiC_scaffold_478	24956
HiC_scaffold_479	25011
HiC_scaffold_480	24980
HiC_scaffold_481	25131
HiC_scaffold_482	24984
HiC_scaffold_484	5248
HiC_scaffold_486	49977
HiC_scaffold_488	5097
HiC_scaffold_489	25219
HiC_scaffold_490	13883
HiC_scaffold_492	24945
HiC_scaffold_493	6991
HiC_scaffold_494	24415
HiC_scaffold_495	25024
HiC_scaffold_496	65878
HiC_scaffold_498	77515
HiC_scaffold_499	25186
HiC_scaffold_500	24976
HiC_scaffold_504	1067
HiC_scaffold_505	68645
HiC_scaffold_508	3270
HiC_scaffold_511	24903
HiC_scaffold_512	24867
HiC_scaffold_513	24820
HiC_scaffold_516	49538
HiC_scaffold_517	24924
HiC_scaffold_518	24512
HiC_scaffold_519	24115
HiC_scaffold_521	24477
HiC_scaffold_522	49720
HiC_scaffold_523	24691
HiC_scaffold_524	26142
HiC_scaffold_526	1682
HiC_scaffold_527	49976
HiC_scaffold_528	50441
HiC_scaffold_529	21711
HiC_scaffold_530	25058
HiC_scaffold_531	25281
HiC_scaffold_532	24943
HiC_scaffold_534	1014
HiC_scaffold_537	1536
HiC_scaffold_538	25010
HiC_scaffold_539	20646
HiC_scaffold_540	24794
HiC_scaffold_541	50316
HiC_scaffold_542	25285
HiC_scaffold_543	24893
HiC_scaffold_544	23854
HiC_scaffold_545	25030
HiC_scaffold_546	24934
HiC_scaffold_547	24530
HiC_scaffold_548	25820
HiC_scaffold_549	1823
HiC_scaffold_550	24407
HiC_scaffold_551	99924
HiC_scaffold_552	25193
HiC_scaffold_553	24946
HiC_scaffold_554	24518
HiC_scaffold_555	28334
HiC_scaffold_557	17531
HiC_scaffold_558	25552
HiC_scaffold_560	25154
HiC_scaffold_561	24889
HiC_scaffold_562	23995
HiC_scaffold_563	24899
HiC_scaffold_564	25209
HiC_scaffold_565	2487
HiC_scaffold_566	3002
HiC_scaffold_568	5169
HiC_scaffold_569	24595
HiC_scaffold_570	25020
HiC_scaffold_571	25100
HiC_scaffold_573	74930
HiC_scaffold_574	25792
HiC_scaffold_575	24996
HiC_scaffold_576	19819
HiC_scaffold_578	23544
HiC_scaffold_579	24868
HiC_scaffold_580	24951
HiC_scaffold_581	6235
HiC_scaffold_583	24777
HiC_scaffold_584	25108
HiC_scaffold_585	24844
HiC_scaffold_587	62726
HiC_scaffold_588	24571
HiC_scaffold_589	24797
HiC_scaffold_590	51277
HiC_scaffold_591	23701
HiC_scaffold_592	10875
HiC_scaffold_593	24958
HiC_scaffold_594	25047
HiC_scaffold_595	43704
HiC_scaffold_596	25035
HiC_scaffold_597	25006
HiC_scaffold_598	25041
HiC_scaffold_599	24956
HiC_scaffold_600	3103
HiC_scaffold_601	25489
HiC_scaffold_602	22358
HiC_scaffold_603	24914
HiC_scaffold_604	24938
HiC_scaffold_605	24966
HiC_scaffold_606	25035
HiC_scaffold_607	24820
HiC_scaffold_608	24987
HiC_scaffold_609	24988
HiC_scaffold_610	1413
HiC_scaffold_611	25158
HiC_scaffold_614	51638
HiC_scaffold_615	24825
HiC_scaffold_616	24982
HiC_scaffold_617	117282
HiC_scaffold_618	25356
HiC_scaffold_619	25250
HiC_scaffold_620	25049
HiC_scaffold_621	24992
HiC_scaffold_622	24741
HiC_scaffold_623	24616
HiC_scaffold_624	24840
HiC_scaffold_625	57734
HiC_scaffold_626	4447
HiC_scaffold_627	23062
HiC_scaffold_628	24881
HiC_scaffold_629	25499
HiC_scaffold_630	17250
HiC_scaffold_631	25346
HiC_scaffold_632	27525
HiC_scaffold_635	24964
HiC_scaffold_636	24985
HiC_scaffold_637	24949
HiC_scaffold_638	18081
HiC_scaffold_639	25157
HiC_scaffold_641	46415
HiC_scaffold_642	26101
HiC_scaffold_643	24863
HiC_scaffold_644	25065
HiC_scaffold_646	16738
HiC_scaffold_648	10993
HiC_scaffold_649	25049
HiC_scaffold_650	24974
HiC_scaffold_651	568
HiC_scaffold_652	23119
HiC_scaffold_654	24923
HiC_scaffold_655	24730
HiC_scaffold_657	24819
HiC_scaffold_658	24823
HiC_scaffold_659	24511
HiC_scaffold_660	25031
HiC_scaffold_661	25610
HiC_scaffold_663	29746
HiC_scaffold_665	25049
HiC_scaffold_666	2977
HiC_scaffold_667	1893
HiC_scaffold_668	24921
HiC_scaffold_669	24920
HiC_scaffold_670	24765
HiC_scaffold_671	24966
HiC_scaffold_672	23569
HiC_scaffold_673	15512
HiC_scaffold_674	25241
HiC_scaffold_675	48491
HiC_scaffold_676	4310
HiC_scaffold_678	25019
HiC_scaffold_679	24880
HiC_scaffold_680	24460
HiC_scaffold_681	25871
HiC_scaffold_682	24832
HiC_scaffold_683	27972
HiC_scaffold_684	24558
HiC_scaffold_685	24973
HiC_scaffold_686	8986
HiC_scaffold_687	24834
HiC_scaffold_688	49841
HiC_scaffold_689	49697
HiC_scaffold_690	49791
HiC_scaffold_691	24959
HiC_scaffold_692	50194
HiC_scaffold_694	24878
HiC_scaffold_695	24949
HiC_scaffold_696	50355
HiC_scaffold_697	49872
HiC_scaffold_698	1662
HiC_scaffold_699	43937
HiC_scaffold_700	25028
HiC_scaffold_701	24907
HiC_scaffold_702	4054
HiC_scaffold_703	4871
HiC_scaffold_704	49874
HiC_scaffold_705	25070
HiC_scaffold_706	49973
HiC_scaffold_707	74820
HiC_scaffold_708	24675
HiC_scaffold_709	26498
HiC_scaffold_710	23854
HiC_scaffold_711	10074
HiC_scaffold_712	25068
HiC_scaffold_713	24866
HiC_scaffold_716	25115
HiC_scaffold_717	24984
HiC_scaffold_719	24907
HiC_scaffold_720	24743
HiC_scaffold_721	25254
HiC_scaffold_722	5027
HiC_scaffold_723	24901
HiC_scaffold_724	49897
HiC_scaffold_726	24920
HiC_scaffold_727	24970
HiC_scaffold_728	25007
HiC_scaffold_729	4021
HiC_scaffold_731	2761
HiC_scaffold_732	27065
HiC_scaffold_733	81799
HiC_scaffold_735	95477
HiC_scaffold_736	25092
HiC_scaffold_737	24960
HiC_scaffold_738	1799
HiC_scaffold_739	62309
HiC_scaffold_741	25103
HiC_scaffold_742	24807
HiC_scaffold_744	49736
HiC_scaffold_745	24853
HiC_scaffold_746	25536
HiC_scaffold_747	24850
HiC_scaffold_749	1045
HiC_scaffold_751	25227
HiC_scaffold_752	24568
HiC_scaffold_753	1566
HiC_scaffold_754	24920
HiC_scaffold_755	22945
HiC_scaffold_757	13801
HiC_scaffold_758	25005
HiC_scaffold_759	1333
HiC_scaffold_765	25068
HiC_scaffold_766	3477
HiC_scaffold_767	45996
HiC_scaffold_769	25112
HiC_scaffold_770	25085
HiC_scaffold_771	887
HiC_scaffold_773	51994
HiC_scaffold_774	50272
HiC_scaffold_775	24722
HiC_scaffold_776	25050
HiC_scaffold_778	26665
HiC_scaffold_779	3020
HiC_scaffold_780	24935
HiC_scaffold_781	25017
HiC_scaffold_782	25128
HiC_scaffold_783	24875
HiC_scaffold_785	24932
HiC_scaffold_786	24799
HiC_scaffold_787	24999
HiC_scaffold_788	24901
HiC_scaffold_789	24933
HiC_scaffold_790	24943
HiC_scaffold_791	80168
HiC_scaffold_792	42403
HiC_scaffold_793	1763
HiC_scaffold_794	14749
HiC_scaffold_795	25032
HiC_scaffold_796	25069
HiC_scaffold_797	33744
HiC_scaffold_800	31548
HiC_scaffold_801	73746
HiC_scaffold_802	51041
HiC_scaffold_803	24678
HiC_scaffold_804	25082
HiC_scaffold_806	35208
HiC_scaffold_807	8160
HiC_scaffold_808	24583
HiC_scaffold_809	7269
HiC_scaffold_811	2890
HiC_scaffold_812	113664
HiC_scaffold_813	114756
HiC_scaffold_816	26063
HiC_scaffold_817	25020
HiC_scaffold_818	86438
HiC_scaffold_819	34506
HiC_scaffold_820	30478
HiC_scaffold_821	31503
HiC_scaffold_823	2826
HiC_scaffold_824	1120
HiC_scaffold_826	21614
HiC_scaffold_827	24865
HiC_scaffold_828	7907
HiC_scaffold_829	22822
HiC_scaffold_830	25142
HiC_scaffold_831	1889
HiC_scaffold_833	25658
HiC_scaffold_834	7291
HiC_scaffold_836	54035
HiC_scaffold_838	10278
HiC_scaffold_839	1002
HiC_scaffold_840	8720
HiC_scaffold_842	24998
HiC_scaffold_843	24709
HiC_scaffold_844	49821
HiC_scaffold_845	24907
HiC_scaffold_846	12056
HiC_scaffold_847	5178
HiC_scaffold_848	27786
HiC_scaffold_850	24891
HiC_scaffold_851	35066
HiC_scaffold_852	25135
HiC_scaffold_854	40418
HiC_scaffold_856	29024
HiC_scaffold_857	17234
HiC_scaffold_858	13963
HiC_scaffold_860	14988
HiC_scaffold_861	629
HiC_scaffold_862	25004
HiC_scaffold_863	7183
HiC_scaffold_864	24135
HiC_scaffold_866	24980
HiC_scaffold_867	24873
HiC_scaffold_868	24894
HiC_scaffold_869	3828
HiC_scaffold_870	6803
HiC_scaffold_873	21350
HiC_scaffold_874	24768
HiC_scaffold_876	4344
HiC_scaffold_877	24980
HiC_scaffold_878	16715
HiC_scaffold_884	57149
HiC_scaffold_886	23056
HiC_scaffold_887	23683
HiC_scaffold_888	24271
HiC_scaffold_891	24337
HiC_scaffold_892	24539
HiC_scaffold_893	27685
HiC_scaffold_894	1280
HiC_scaffold_895	24978
HiC_scaffold_896	25083
HiC_scaffold_897	25020
HiC_scaffold_898	25147
HiC_scaffold_901	25026
HiC_scaffold_902	6578
HiC_scaffold_904	2728
HiC_scaffold_905	3967
HiC_scaffold_906	1012
HiC_scaffold_907	1513
HiC_scaffold_908	29767
HiC_scaffold_910	796
HiC_scaffold_911	3959
HiC_scaffold_912	25027
HiC_scaffold_913	1992
HiC_scaffold_916	44247
HiC_scaffold_917	2917
HiC_scaffold_918	20564
HiC_scaffold_919	12289
HiC_scaffold_921	14346
HiC_scaffold_922	61101
HiC_scaffold_923	24861
HiC_scaffold_924	1146
HiC_scaffold_925	7798
HiC_scaffold_927	5394
HiC_scaffold_928	24988
HiC_scaffold_929	49695
HiC_scaffold_930	24960
HiC_scaffold_931	26502
HiC_scaffold_932	2673
HiC_scaffold_933	5496
HiC_scaffold_934	32696
HiC_scaffold_935	13177
HiC_scaffold_936	1028
HiC_scaffold_938	2104
HiC_scaffold_939	964
HiC_scaffold_940	43825
HiC_scaffold_941	24893
HiC_scaffold_942	2252
HiC_scaffold_949	1263
HiC_scaffold_951	1755
HiC_scaffold_953	1359
HiC_scaffold_954	58771
HiC_scaffold_955	25111
HiC_scaffold_956	33030
HiC_scaffold_959	49783
HiC_scaffold_963	24877
HiC_scaffold_964	40188
HiC_scaffold_965	74683
HiC_scaffold_967	23580
HiC_scaffold_972	69986
HiC_scaffold_973	66537
HiC_scaffold_974	15183
HiC_scaffold_975	61916
HiC_scaffold_976	24947
HiC_scaffold_977	5995
HiC_scaffold_978	11655
HiC_scaffold_979	3058
HiC_scaffold_984	25344
HiC_scaffold_987	1010
HiC_scaffold_988	4374
HiC_scaffold_990	1135
HiC_scaffold_991	380
HiC_scaffold_993	14629
HiC_scaffold_995	1397
HiC_scaffold_996	26425
HiC_scaffold_998	24975
HiC_scaffold_999	45384
HiC_scaffold_1000	24373
HiC_scaffold_1001	41174
HiC_scaffold_1002	4239
HiC_scaffold_1003	2954
HiC_scaffold_1005	999
HiC_scaffold_1006	82335
HiC_scaffold_1008	15471
HiC_scaffold_1010	2226
HiC_scaffold_1011	20921
HiC_scaffold_1012	28235
HiC_scaffold_1013	2481
HiC_scaffold_1014	30860
HiC_scaffold_1015	9846
HiC_scaffold_1016	1201
HiC_scaffold_1017	273565
HiC_scaffold_1018	10988
HiC_scaffold_1019	29743
HiC_scaffold_1022	1832
HiC_scaffold_1023	1721
HiC_scaffold_1024	12723
HiC_scaffold_1025	1869
HiC_scaffold_1026	25100
HiC_scaffold_1028	28197
HiC_scaffold_1029	3123
HiC_scaffold_1031	51953
HiC_scaffold_1033	1012
HiC_scaffold_1034	19999
HiC_scaffold_1035	24639
HiC_scaffold_1036	26530
HiC_scaffold_1037	25555
HiC_scaffold_1041	2329
HiC_scaffold_1045	5507
HiC_scaffold_1046	57195
HiC_scaffold_1047	25335
HiC_scaffold_1048	2014
HiC_scaffold_1050	50140
HiC_scaffold_1051	45208
HiC_scaffold_1052	1359
HiC_scaffold_1053	24676
HiC_scaffold_1056	41598
HiC_scaffold_1057	17325
HiC_scaffold_1058	11877
HiC_scaffold_1059	32685
HiC_scaffold_1060	590
HiC_scaffold_1062	18051
HiC_scaffold_1063	1000
HiC_scaffold_1067	1034
HiC_scaffold_1070	22301
HiC_scaffold_1073	17380
HiC_scaffold_1074	25156
HiC_scaffold_1076	3372
HiC_scaffold_1077	25084
HiC_scaffold_1079	15540
HiC_scaffold_1083	24907
HiC_scaffold_1084	25266
HiC_scaffold_1085	35222
HiC_scaffold_1086	25346
HiC_scaffold_1089	54590
HiC_scaffold_1090	81994
HiC_scaffold_1092	49896
HiC_scaffold_1093	23659
HiC_scaffold_1096	17367
HiC_scaffold_1097	12885
HiC_scaffold_1100	23470
HiC_scaffold_1101	54027
HiC_scaffold_1102	24915
HiC_scaffold_1103	35702
HiC_scaffold_1104	12041
HiC_scaffold_1105	1206
HiC_scaffold_1107	4771
HiC_scaffold_1108	1847
HiC_scaffold_1109	8560
HiC_scaffold_1111	2418
HiC_scaffold_1112	29825
HiC_scaffold_1113	6004
HiC_scaffold_1114	4191
HiC_scaffold_1115	19633
HiC_scaffold_1116	50021
HiC_scaffold_1117	6907
HiC_scaffold_1118	25758
HiC_scaffold_1119	1933
HiC_scaffold_1120	15964
HiC_scaffold_1121	4027
HiC_scaffold_1122	9007
HiC_scaffold_1126	5900
HiC_scaffold_1127	36089
HiC_scaffold_1128	61543
HiC_scaffold_1129	22941
HiC_scaffold_1130	50400
HiC_scaffold_1133	26287
HiC_scaffold_1136	1994
HiC_scaffold_1137	25222
HiC_scaffold_1138	32884
HiC_scaffold_1139	8606
HiC_scaffold_1141	39146
HiC_scaffold_1142	13205
HiC_scaffold_1143	3205
HiC_scaffold_1145	24969
HiC_scaffold_1146	29713
HiC_scaffold_1147	61916
HiC_scaffold_1148	1641
HiC_scaffold_1152	996
HiC_scaffold_1153	22357
HiC_scaffold_1154	22913
HiC_scaffold_1155	1252
HiC_scaffold_1156	26477
HiC_scaffold_1157	2641
HiC_scaffold_1158	690
HiC_scaffold_1160	32898
HiC_scaffold_1161	1879
HiC_scaffold_1164	915
HiC_scaffold_1165	14621
HiC_scaffold_1167	24703
HiC_scaffold_1168	8900
HiC_scaffold_1169	34564
HiC_scaffold_1170	6445
HiC_scaffold_1171	6645
HiC_scaffold_1174	37481
HiC_scaffold_1175	2680
HiC_scaffold_1176	861
HiC_scaffold_1178	3270
HiC_scaffold_1179	25911
HiC_scaffold_1180	12725
HiC_scaffold_1181	89546
HiC_scaffold_1182	35491
HiC_scaffold_1183	32291
HiC_scaffold_1184	4354
HiC_scaffold_1187	16664
HiC_scaffold_1188	25010
HiC_scaffold_1189	28508
HiC_scaffold_1190	26329
HiC_scaffold_1191	37701
HiC_scaffold_1194	24697
HiC_scaffold_1195	1215
HiC_scaffold_1196	28355
HiC_scaffold_1197	61488
HiC_scaffold_1199	18136
HiC_scaffold_1200	9967
HiC_scaffold_1201	1949
HiC_scaffold_1203	16570
HiC_scaffold_1205	2989
HiC_scaffold_1206	366
HiC_scaffold_1207	7565
HiC_scaffold_1209	20753
HiC_scaffold_1210	70804
HiC_scaffold_1211	1133
HiC_scaffold_1213	811
HiC_scaffold_1216	2605
HiC_scaffold_1217	100252
HiC_scaffold_1218	3838
HiC_scaffold_1220	94392
HiC_scaffold_1221	7410
